[peak]id_number	mz	rtime	apex(scan number)	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records
F23	85.04770363867283	173.4190807360002	453	kp1_83.0371	13C/12C,M+H+	None	83.03708508553761			
F3	84.04437446594238	173.8108226560002	454	kp1_83.0371	M0,M+H+	None	83.03708508553761			
F24	85.04770363867283	196.7206739989998	514	kp2_83.0371	13C/12C,M+H+	None	83.03708508553761			
F4	84.04437446594238	196.3507106869998	513	kp2_83.0371	M0,M+H+	None	83.03708508553761			
F66	88.0577911734581	196.7206739989998	514	kp3_86.0472	13C/12C,M+H+	None	86.04718189629573			
F6280	87.05448055267334	197.100775215	515	kp3_86.0472	M0,M+H+	None	86.04718189629573			
F6273	85.08411073684692	129.9021110560002	339	kp4_83.0735	13C/12C,M+H+	None	83.07349155041236	(+)-2,3-Dihydro-3-methyl-1H-pyrrole	(HMDB0033529$(+)-2,3-Dihydro-3-methyl-1H-pyrrole;HMDB0040173$Pentanenitrile)	('C5H9N_83.073499', '', 1)
F7	84.08078029751778	129.5206326400002	338	kp4_83.0735	M0,M+H+	None	83.07349155041236	(+)-2,3-Dihydro-3-methyl-1H-pyrrole	(HMDB0033529$(+)-2,3-Dihydro-3-methyl-1H-pyrrole;HMDB0040173$Pentanenitrile)	('C5H9N_83.073499', '', 1)
F9	84.08078029751778	228.4128878239998	597	kp5_83.0735	M0,M+H+	None	83.07349155041236	(+)-2,3-Dihydro-3-methyl-1H-pyrrole	(HMDB0033529$(+)-2,3-Dihydro-3-methyl-1H-pyrrole;HMDB0040173$Pentanenitrile)	('C5H9N_83.073499', '', 1)
F6274	85.08411073684692	228.0326404480002	596	kp5_83.0735	13C/12C,M+H+	None	83.07349155041236	(+)-2,3-Dihydro-3-methyl-1H-pyrrole	(HMDB0033529$(+)-2,3-Dihydro-3-methyl-1H-pyrrole;HMDB0040173$Pentanenitrile)	('C5H9N_83.073499', '', 1)
F42	86.09640231728554	98.394567168	257	kp6_85.0891	M0,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F60	87.09976384043694	98.394567168	257	kp6_85.0891	13C/12C,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F61	87.09976384043694	121.9163499040002	318	kp7_85.0891	13C/12C,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F43	86.09640231728554	121.54634038399979	317	kp7_85.0891	M0,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F62	87.09976384043694	127.22941488	332	kp8_85.0891	13C/12C,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F44	86.09640231728554	127.22941488	332	kp8_85.0891	M0,M+H+	None	85.08912911209124	Piperidine	(HMDB0034301$Piperidine)	('C5H11N_85.089149', '', 1)
F103	152.1474804878235	174.95565409600022	457	kp9_150.1369	13C/12C,M+H+	None	150.13685240539567			
F51	151.14413225650787	174.95565409600022	457	kp9_150.1369	M0,M+H+	None	150.13685240539567			
F67	152.0706204175949	17.634313135999978	45	kp10_151.0633	M0,M+H+	None	151.0633349636461	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
F160	153.0739574432373	17.634313135999978	45	kp10_151.0633	13C/12C,M+H+	None	151.0633349636461	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
F68	152.0706204175949	22.19848396699998	57	kp11_151.0634	M0,M+H+	None	151.06336281965082	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
F251	193.097243309021	24.067011759	62	kp11_151.0634	M0,ACN	None	151.06336281965082	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
F161	153.0739574432373	21.816731167999983	56	kp11_151.0634	13C/12C,M+H+	None	151.06336281965082	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
F7450	194.10054397583008	24.067011759	62	kp11_151.0634	13C/12C,ACN	None	151.06336281965082	Ethyl nicotinate	(HMDB0059846$Ethyl nicotinate;HMDB0060680$2-Amino-3-methylbenzoate;HMDB0061919$2'-Hydroxyacetanilide;HMDB0001859$Acetaminophen;HMDB0002210$2-Phenylglycine;HMDB0012219$Dopamine quinone;HMDB0012992$Leukoaminochrome;HMDB0029703$Methyl 2-aminobenzoate;HMDB0032609$2-(Methylamino)benzoic acid;HMDB0033903$3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione)	('C8H9NO2_151.063329', '', 1)
